Timestamp,Eth Src,Action
2025-04-21 19:24:48,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:48,00:00:00:00:00:16,00:00:00:00:00:13,"Temporary Block (Prediction: DDoS_TCP, Detection Count: 3)"
2025-04-21 19:24:49,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:49,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:53,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:53,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:54,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:58,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:58,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:58,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:59,00:00:00:00:00:12,00:00:00:00:00:13,"Temporary Block (Prediction: DDoS_TCP, Detection Count: 3)"
2025-04-21 19:25:03,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:08,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:08,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:09,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:13,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:13,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:14,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:14,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:18,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:18,00:00:00:00:00:12,00:00:00:00:00:13,"Temporary Block (Prediction: DDoS_TCP, Detection Count: 4)"
2025-04-21 19:25:19,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
